urlname;parentname;baseref;result;warningstring;infostring;valid;url;line;column;name;dltime;size;checktime;cached;level;modified
https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589968407;http://ecology-sandra.codio.io:3000/radiation/forms.aspx;;ReadTimeout: HTTPSConnectionPool(host='www.dshs.state.tx.us', port=443): Read timed out. (read timeout=60);;;False;https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589968407;587;34;Notice to Employees;-1;-1;63.2293422222;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/inspections.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/complaints.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/incidents.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8590000321;http://ecology-sandra.codio.io:3000/radiation/forms.aspx;;ReadTimeout: HTTPSConnectionPool(host='www.dshs.state.tx.us', port=443): Read timed out. (read timeout=60);;;False;https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8590000321;739;34;2016 Industrial Radiography Examination Schedule;-1;-1;62.6882488728;0;2;
https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589994660;http://ecology-sandra.codio.io:3000/radiation/forms.aspx;;ReadTimeout: HTTPSConnectionPool(host='www.dshs.state.tx.us', port=443): Read timed out. (read timeout=60);;;False;https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589994660;743;34;2015 Industrial Radiography Examination Schedule;-1;-1;63.0126490593;0;2;
http://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589964530;http://ecology-sandra.codio.io:3000/radiation/forms.aspx;;ReadTimeout: HTTPConnectionPool(host='www.dshs.state.tx.us', port=80): Read timed out. (read timeout=60);;;False;http://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589964530;826;34;Registration Application for Laser Services;-1;-1;61.618418932;0;2;
https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589992449;http://ecology-sandra.codio.io:3000/radiation/forms.aspx;;ReadTimeout: HTTPSConnectionPool(host='www.dshs.state.tx.us', port=443): Read timed out. (read timeout=60);;;False;https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589992449;903;34;Acknowledgement to Use the General License for In Vitro Clinical or Laboratory Testing;-1;-1;62.1009471416;0;2;
https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589995642;http://ecology-sandra.codio.io:3000/radiation/forms.aspx;;ReadTimeout: HTTPSConnectionPool(host='www.dshs.state.tx.us', port=443): Read timed out. (read timeout=60);;;False;https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589995642;907;34;General License Acknowledgement of Devices Containing Radioactive Material;-1;-1;62.213561058;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/emergency-phone.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/emergency-preparedness/commanche-peak.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/emergency-preparedness/south-texas-project.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/emergency-preparedness/pantex.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/emergency-preparedness/dirty-bomb.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/emergency-preparedness/radiopharmaceuticals.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/rem/;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;446;2;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/rem/REMdraftEPP.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;446;2;Home;-1;209;2.42353606224;0;3;
http://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8590002639;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/forms.aspx;;ReadTimeout: HTTPConnectionPool(host='www.dshs.state.tx.us', port=80): Read timed out. (read timeout=60);;;False;http://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8590002639;542;35;Termination of Laser Hair Removal Individual Registration;-1;-1;60.5678579807;0;2;
https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589961607;http://ecology-sandra.codio.io:3000/radiation/laws-rules.aspx;;ReadTimeout: HTTPSConnectionPool(host='www.dshs.state.tx.us', port=443): Read timed out. (read timeout=60);;;False;https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589961607;599;392;§289.102 (PDF, 94KB);-1;-1;60.4923739433;0;2;
https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589945996;http://ecology-sandra.codio.io:3000/radiation/laws-rules.aspx;;ReadTimeout: HTTPSConnectionPool(host='www.dshs.state.tx.us', port=443): Read timed out. (read timeout=60);;;False;https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589945996;604;392;§289.130 (PDF, 85KB);-1;-1;60.684926033;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/enforcement.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/announcements.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/meetings.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/conference/2014.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/open-records.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/about.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/conference/presentations.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/history.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/links.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/agreement.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/history-chronological.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;3;
http://www.epa.gov/oar/oaqps/;http://ecology-sandra.codio.io:3000/radiation/about.aspx;;404 Not Found;;"Redirected to `http://www2.epa.gov/oar/oaqps/'.
Redirected to `http://www2.epa.gov//oaqps/'.
Redirected to `http://www2.epa.gov/oaqps'.";False;http://www2.epa.gov/oaqps;631;6;US EPA Office of Air and Radiation ;-1;18452;2.42640805244;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/contact.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
http://www.epa.gov/radiation/wipp/;http://ecology-sandra.codio.io:3000/radiation/links.aspx;;404 Not Found;;"Redirected to `http://www2.epa.gov/radiation/wipp/'.
Redirected to `http://www2.epa.gov/radiation/wipp'.";False;http://www2.epa.gov/radiation/wipp;611;13;EPA WIPP;-1;18452;1.47257590294;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/business-registration.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;4;
https://www.dshs.state.tx.us/region1/default.shtm;http://ecology-sandra.codio.io:3000/radiation/inspectors.aspx;;ConnectionError: ('Connection aborted.', BadStatusLine('=\x1da]\x8c<\x83\xa2a\x94d=\x9a\xc4\x9ea)h\xe2\xa4\x1ay\x18~\xc5C{\x1bhObT\x7f\xa6\x16\x10\'\x9e\x04\x9a\xe0N\xa2\x17\xf63\xb3btO\x01\xb2\xfb\x1e\x0c\xf7\xf64%+\x13l\r1E\x07\x07\x8e\x0...;;;False;https://www.dshs.state.tx.us/region1/default.shtm;623;44;Region 1 website;-1;-1;1.72362399101;0;3;
https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8590000321;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/exam.aspx;;ReadTimeout: HTTPSConnectionPool(host='www.dshs.state.tx.us', port=443): Read timed out. (read timeout=60);;;False;https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8590000321;511;34;2016 Industrial Radiography Examination Schedule;-1;-1;62.6882488728;0;3;
https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589994660;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/exam.aspx;;ReadTimeout: HTTPSConnectionPool(host='www.dshs.state.tx.us', port=443): Read timed out. (read timeout=60);;;False;https://www.dshs.state.tx.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=8589994660;515;34;2015 Industrial Radiography Examination Schedule;-1;-1;63.0126490593;0;3;
http://www.idph.state.ia.us/eh/radioactive_materials.asp;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/other-certifications.aspx;;404 Not Found;;;False;http://www.idph.state.ia.us/eh/radioactive_materials.asp;578;34;Iowa Dept. of Public Health;-1;12984;0.158842086792;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/add-medical-site.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;4;
/;http://ecology-sandra.codio.io:3000/radiation/ram/add-physician.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;4;
/;http://ecology-sandra.codio.io:3000/radiation/ram/gauges.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;4;
